time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.voltage,.temperature,.current,.charge,.capacity,.design_capacity,.percentage,.power_supply_status,.power_supply_health,.power_supply_technology,.present,.cell_voltage,.cell_temperature,.location,.serial_number
2025/07/05/17:44:20.943392,14666,1751712260,942127536,,11.982000350952148,0.0,-0.4599999785423279,nan,nan,nan,0.8100000023841858,2,0,0,True,"(11.982000350952148,)",(),id1,
2025/07/05/17:44:20.982102,14667,1751712260,981728144,,0.0,0.0,0.009999999776482582,nan,nan,nan,-0.009999999776482582,2,0,0,True,(),(),,
2025/07/05/17:44:21.025704,14668,1751712261,25231883,,11.982000350952148,0.0,-0.47999998927116394,nan,nan,nan,0.8100000023841858,2,0,0,True,"(11.982000350952148,)",(),id1,
2025/07/05/17:44:21.062797,14669,1751712261,62323422,,0.0,0.0,0.009999999776482582,nan,nan,nan,-0.009999999776482582,2,0,0,True,(),(),,
2025/07/05/17:44:21.123894,14670,1751712261,123221698,,11.985000610351562,0.0,-0.4699999988079071,nan,nan,nan,0.8100000023841858,2,0,0,True,"(11.985000610351562,)",(),id1,
2025/07/05/17:44:21.163215,14671,1751712261,162262286,,0.0,0.0,0.009999999776482582,nan,nan,nan,-0.009999999776482582,2,0,0,True,(),(),,
2025/07/05/17:44:21.225437,14672,1751712261,225080059,,11.983000755310059,0.0,-0.4699999988079071,nan,nan,nan,0.8100000023841858,2,0,0,True,"(11.983000755310059,)",(),id1,
2025/07/05/17:44:21.263095,14673,1751712261,262103061,,0.0,0.0,0.009999999776482582,nan,nan,nan,-0.009999999776482582,2,0,0,True,(),(),,
2025/07/05/17:44:21.322702,14674,1751712261,322195258,,11.983000755310059,0.0,-0.4899999797344208,nan,nan,nan,0.8100000023841858,2,0,0,True,"(11.983000755310059,)",(),id1,
2025/07/05/17:44:21.362698,14675,1751712261,362187486,,0.0,0.0,0.009999999776482582,nan,nan,nan,-0.009999999776482582,2,0,0,True,(),(),,
