time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.remote_timestamp_ns,.observed_offset_ns,.estimated_offset_ns,.round_trip_time_ms
2025/07/05/17:49:51.371120,11136,1751712591,369994648,,2965095282000,1751709626267986774,1751709626283147008,13.4387788772583
2025/07/05/17:49:51.470546,11137,1751712591,470226848,,2965195249000,1751709626268089566,1751709626283147008,13.48209285736084
2025/07/05/17:49:51.573083,11138,1751712591,570085224,,2965295016000,1751709626268291653,1751709626283147008,13.542228698730469
2025/07/05/17:49:51.672189,11139,1751712591,671314830,,2965395458000,1751709626268492910,1751709626283147008,14.70935344696045
2025/07/05/17:49:51.770946,11140,1751712591,770387109,,2965495275000,1751709626268213102,1751709626283147008,13.768448829650879
2025/07/05/17:49:51.870567,11141,1751712591,870134113,,2965595107000,1751709626268253996,1751709626283147008,13.533768653869629
2025/07/05/17:49:51.969839,11142,1751712591,969025096,,2965695237000,1751709626267576580,1751709626283147008,12.401877403259277
2025/07/05/17:49:52.072016,11143,1751712592,70247432,,2965794454000,1751709626268839795,1751709626283147008,13.464320182800293
2025/07/05/17:49:52.170914,11144,1751712592,170000301,,2965894604000,1751709626268697546,1751709626283147008,13.38935661315918
2025/07/05/17:49:52.272922,11145,1751712592,269599558,,2965995291000,1751709626267766854,1751709626283147008,13.076794624328613
2025/07/05/17:49:52.370867,11146,1751712592,370140126,,2966095031000,1751709626268287873,1751709626283147008,13.626752853393555
2025/07/05/17:49:52.470510,11147,1751712592,470106209,,2966195067000,1751709626268306652,1751709626283147008,13.461640357971191
2025/07/05/17:49:52.569934,11148,1751712592,569544272,,2966295304000,1751709626267729481,1751709626283147008,13.017046928405762
2025/07/05/17:49:52.671279,11149,1751712592,670754986,,2966395098000,1751709626268281333,1751709626283147008,13.792099952697754
2025/07/05/17:49:52.771257,11150,1751712592,770280678,,2966495281000,1751709626268103795,1751709626283147008,13.766845703125
2025/07/05/17:49:52.870165,11151,1751712592,869603349,,2966595448000,1751709626267614210,1751709626283147008,13.078703880310059
2025/07/05/17:49:52.971059,11152,1751712592,970046284,,2966694872000,1751709626268515097,1751709626283147008,13.314254760742188
2025/07/05/17:49:53.072521,11153,1751712593,70064091,,2966794486000,1751709626268867714,1751709626283147008,13.41504955291748
2025/07/05/17:49:53.169842,11154,1751712593,169583314,,2966894543000,1751709626268603665,1751709626283147008,12.866989135742188
2025/07/05/17:49:53.272460,11155,1751712593,271485311,,2966995295000,1751709626268347477,1751709626283147008,14.244217872619629
2025/07/05/17:49:53.371073,11156,1751712593,370233267,,2967095338000,1751709626268037365,1751709626283147008,13.69826602935791
2025/07/05/17:49:53.470828,11157,1751712593,470125925,,2967194484000,1751709626268941506,1751709626283147008,13.397225379943848
2025/07/05/17:49:53.570299,11158,1751712593,569527307,,2967295096000,1751709626267931732,1751709626283147008,12.99499797821045
2025/07/05/17:49:53.671126,11159,1751712593,670581677,,2967395220000,1751709626268321423,1751709626283147008,14.060483932495117
